Datum,Lokalzeit,Last [kW],Globalstrahlung [W/m2],Lufttemperatur [°C]
03.01.2021,05:30:00,42316.28,0,0.1
03.01.2021,05:45:00,43031.76,0,0.1
03.01.2021,06:00:00,43406.42,0,0.1
03.01.2021,06:15:00,43944.54,0,0.1
03.01.2021,06:30:00,43809.47,0,0.1
03.01.2021,06:45:00,43961,0,0.1
03.01.2021,07:00:00,44496.22,0,0.1
03.01.2021,07:15:00,43533.15,0,0.1
03.01.2021,07:30:00,43906.58,0,0.1
03.01.2021,07:45:00,44521.79,0,0.1
03.01.2021,08:00:00,45298.96,0,0.1
03.01.2021,08:15:00,45584.44,5,0.1
03.01.2021,08:30:00,45308.62,5,0.1
03.01.2021,08:45:00,46173.29,5,0.1
03.01.2021,09:00:00,46448.42,5,0.1
03.01.2021,09:15:00,47110.76,26.7,0.2
03.01.2021,09:30:00,47636.63,26.7,0.2
03.01.2021,09:45:00,48433.1,26.7,0.2
03.01.2021,10:00:00,48866.43,26.7,0.2
03.01.2021,10:15:00,49161.84,73.3,0.6
03.01.2021,10:30:00,49135.54,73.3,0.6
03.01.2021,10:45:00,48826.45,73.3,0.6
03.01.2021,11:00:00,49154.62,73.3,0.6
03.01.2021,11:15:00,49909.3,20,0.7
03.01.2021,11:30:00,50289.99,20,0.7
03.01.2021,11:45:00,51488.12,20,0.7
03.01.2021,12:00:00,52585.34,20,0.7
03.01.2021,12:15:00,51918.66,48.3,0.9
03.01.2021,12:30:00,51571.71,48.3,0.9
03.01.2021,12:45:00,51398.18,48.3,0.9
03.01.2021,13:00:00,49813.88,48.3,0.9
03.01.2021,13:15:00,50436.05,73.3,1
03.01.2021,13:30:00,49924.27,73.3,1
03.01.2021,13:45:00,49406.52,73.3,1
03.01.2021,14:00:00,48057.45,73.3,1
03.01.2021,14:15:00,47471.74,78.3,1.3
03.01.2021,14:30:00,47092.4,78.3,1.3
03.01.2021,14:45:00,46776.79,78.3,1.3
03.01.2021,15:00:00,46999.5,78.3,1.3
03.01.2021,15:15:00,47637.46,11.7,1.3
03.01.2021,15:30:00,47750.7,11.7,1.3
03.01.2021,15:45:00,48393.95,11.7,1.3
03.01.2021,16:00:00,48981.72,11.7,1.3
03.01.2021,16:15:00,49546.48,0,1.2
03.01.2021,16:30:00,50862.09,0,1.2
03.01.2021,16:45:00,52868.04,0,1.2
03.01.2021,17:00:00,54843.32,0,1.2
03.01.2021,17:15:00,58179.22,0,1.1
03.01.2021,17:30:00,59302.07,0,1.1
03.01.2021,17:45:00,61096.26,0,1.1
03.01.2021,18:00:00,61368.78,0,1.1
03.01.2021,18:15:00,61454.57,0,0.9
03.01.2021,18:30:00,61411.08,0,0.9
03.01.2021,18:45:00,61163.13,0,0.9
03.01.2021,19:00:00,60212.15,0,0.9
03.01.2021,19:15:00,59157.68,0,0.7
03.01.2021,19:30:00,58189.94,0,0.7
03.01.2021,19:45:00,57437.01,0,0.7
03.01.2021,20:00:00,56831.6,0,0.7
03.01.2021,20:15:00,56630.55,0,0.6
03.01.2021,20:30:00,55581.59,0,0.6
03.01.2021,20:45:00,54880.1,0,0.6
03.01.2021,21:00:00,53462.59,0,0.6
03.01.2021,21:15:00,53639.69,0,0.3
03.01.2021,21:30:00,53051.16,0,0.3
03.01.2021,21:45:00,52138.75,0,0.3
03.01.2021,22:00:00,51595.39,0,0.3
03.01.2021,22:15:00,52989.66,0,-0.2
03.01.2021,22:30:00,52141.98,0,-0.2
03.01.2021,22:45:00,51869.75,0,-0.2
03.01.2021,23:00:00,51049.8,0,-0.2
03.01.2021,23:15:00,50696.65,0,-0.5
03.01.2021,23:30:00,49644.74,0,-0.5
03.01.2021,23:45:00,49151.8,0,-0.5
04.01.2021,00:00:00,47971.87,0,-0.5
04.01.2021,00:15:00,47788.42,0,-0.7
04.01.2021,00:30:00,47856.16,0,-0.7
04.01.2021,00:45:00,47195.6,0,-0.7
04.01.2021,01:00:00,45955,0,-0.7
04.01.2021,01:15:00,46177.28,0,-1.1
04.01.2021,01:30:00,45430.87,0,-1.1
04.01.2021,01:45:00,44990.65,0,-1.1
04.01.2021,02:00:00,44898.74,0,-1.1
04.01.2021,02:15:00,45422.83,0,-0.9
04.01.2021,02:30:00,44785.98,0,-0.9
04.01.2021,02:45:00,45032.3,0,-0.9
04.01.2021,03:00:00,44179.81,0,-0.9
04.01.2021,03:15:00,44650.46,0,-0.9
04.01.2021,03:30:00,43691.5,0,-0.9
04.01.2021,03:45:00,43267.18,0,-0.9
04.01.2021,04:00:00,43299.87,0,-0.9
04.01.2021,04:15:00,43362.33,0,-0.9
04.01.2021,04:30:00,44142.63,0,-0.9
04.01.2021,04:45:00,44469.78,0,-0.9
04.01.2021,05:00:00,44684.64,0,-0.9
04.01.2021,05:15:00,45249.12,0,-0.9
04.01.2021,05:30:00,45895.21,0,-0.9
04.01.2021,05:45:00,46615.21,0,-0.9
04.01.2021,06:00:00,48403.44,0,-0.9
04.01.2021,06:15:00,49554.34,0,-0.8
04.01.2021,06:30:00,51454.97,0,-0.8
04.01.2021,06:45:00,52906.87,0,-0.8
04.01.2021,07:00:00,53830.32,0,-0.8
04.01.2021,07:15:00,53900.12,0,-0.8
04.01.2021,07:30:00,55159.18,0,-0.8
04.01.2021,07:45:00,55778.38,0,-0.8
04.01.2021,08:00:00,56822.25,0,-0.8
04.01.2021,08:15:00,56345.82,15,-0.4
04.01.2021,08:30:00,55917.02,15,-0.4
04.01.2021,08:45:00,56300.2,15,-0.4
04.01.2021,09:00:00,56758.52,15,-0.4
04.01.2021,09:15:00,55853.59,40,0.7
04.01.2021,09:30:00,55432.76,40,0.7
04.01.2021,09:45:00,55862.05,40,0.7
04.01.2021,10:00:00,55844.39,40,0.7
04.01.2021,10:15:00,56018.45,56.7,0.7
04.01.2021,10:30:00,55782.74,56.7,0.7
04.01.2021,10:45:00,55826.7,56.7,0.7
04.01.2021,11:00:00,54883.28,56.7,0.7
04.01.2021,11:15:00,56089.7,101.7,0.8
04.01.2021,11:30:00,57587.23,101.7,0.8
04.01.2021,11:45:00,59770.35,101.7,0.8
04.01.2021,12:00:00,60724.85,101.7,0.8
04.01.2021,12:15:00,57131.55,121.7,0.8
04.01.2021,12:30:00,54612.14,121.7,0.8
04.01.2021,12:45:00,53569.58,121.7,0.8
04.01.2021,13:00:00,53577.98,121.7,0.8
04.01.2021,13:15:00,53694.95,53.3,0.7
04.01.2021,13:30:00,53464.56,53.3,0.7
04.01.2021,13:45:00,53972.58,53.3,0.7
04.01.2021,14:00:00,54372.02,53.3,0.7
04.01.2021,14:15:00,54457.86,28.3,0.6
04.01.2021,14:30:00,54663.24,28.3,0.6
04.01.2021,14:45:00,54978.1,28.3,0.6
04.01.2021,15:00:00,55200.95,28.3,0.6
04.01.2021,15:15:00,55444.54,11.7,0.5
04.01.2021,15:30:00,55189.05,11.7,0.5
04.01.2021,15:45:00,56315.15,11.7,0.5
04.01.2021,16:00:00,56775.64,11.7,0.5
04.01.2021,16:15:00,57731.62,0,0.3
04.01.2021,16:30:00,58279.89,0,0.3
04.01.2021,16:45:00,59088.13,0,0.3
04.01.2021,17:00:00,60165.47,0,0.3
04.01.2021,17:15:00,62218.14,0,0.2
04.01.2021,17:30:00,63015.91,0,0.2
04.01.2021,17:45:00,63463.22,0,0.2
04.01.2021,18:00:00,63754.33,0,0.2
04.01.2021,18:15:00,64230.15,0,0.1
04.01.2021,18:30:00,63807.61,0,0.1
04.01.2021,18:45:00,63569.64,0,0.1
04.01.2021,19:00:00,63248.1,0,0.1
04.01.2021,19:15:00,62546.86,0,0.1
04.01.2021,19:30:00,61408.48,0,0.1
04.01.2021,19:45:00,60538.52,0,0.1
04.01.2021,20:00:00,60589.5,0,0.1
